Name,Kurzname,Beschreibung,Farbe,Grad,FirstFound,FirstAscent,Lat,Lon
Alter Markt Obeliskensockel,alter_obelisk,"A) Traverse, um den Sockel herum (beide Richtungen)",2,,,,52.39586,13.06118
,,B) An einer der vier Ecke ohne Hände bis zur Oberkante des Sockels,3,,,,,
Alter Markt Museum,alter_museum,A) Aus dem Stand an der Wand hoch. Schwere Variation aus dem Hängen an einer der unteren Kanten mit Hochstützen.,2,,,,52.39608,13.06174
,,B) Wand - Schild - Wand,4,,Stevie,Stevie,,
Neuer Markt Wand,neuer_wand,A) Traverse an der Wand mit Nutzung der horizontalen Fugen/Leisten (beide Richtungen),2,,,,52.39623,13.05755
,,B) Wie A aber nur mit vertikalen Fugen/Leisten (beide Richtungen),4,,,,,
Neuer Markt Fassade,neuer_fassade,A) Nach oben und Traverse,3,,,,52.39653,13.05703
,,B) Wie A und weiter um die Ecke,4,,,,,
Kanal Fussgängerbrücke,kanal_bruecke,A) Unten im Kanal starten und unter der Brücke durch hangeln und klettern,2,,,,52.3975,13.05588
,,B) Oben aus der Brücke starten und einmal drunter durch und oben wieder zurück,3,,,,,
,,"C) An einer Außenseite der Brücke entlang, ohne dass Füße das Metall der Brücke berühren",4,,,,,
Kanal Untergriff,kanal_untergriff,"A) Aus dem Kanal nach oben klettern, Brücke kann mit genutzt werden",1,,,,52.39761,13.05578
,,B) Es wird nur die Kanalmauer (und das Kanalgeländer) genutzt,2,,,,,
,,"C) Wie B, aber die Kanaloberkante wird nur als Untergriff genutzt",3,,,,,
Kanal Treppenquerung,kanal_treppe,"A) Start im Hängen auf einer Seite der Treffe, Sprung oder statisch auf die andere Seite kommen (beide Richtungen)",4,,Stevie,Stevie,52.39788,13.05367
Kanal Wallruns,kanal_wallruns,"A) Aus dem Laufen an die obere Kante des Kanals und rausklettern, links ist Mauer weniger hoch",3,,,,52.39783,13.05356
,,B) Wie A aber an höherer Stelle der Mauer weiter rechts,4,,,,,
Kanal Anfangsmauer,kanal_mauer,A) Aus dem Sitzstart mit kleinem Vorsprung und Spalt aus dem Kanal heraus,3,,Stevie,Stevie,52.39783,13.05347
,,"B) Wie A, aber noch eine schmale Absatzstufe weiter rechts hoch",4,,,,,
,,C) Sitzstart weiter am oberen Ende der Rampe und hoch,5,,,,,
Kanal Ring und Reverse,kanal_ring,"A) Am Ring hängen, Füße an der Mauer und hoch",4,,,,52.39782,13.05363
,,"B) Startposition mit den Händen am Ring und den Füße oben an der Oberkante eingehakt, dann aus dem Kanal raus (nur mit Spotten/Hilfestellung, die einen ungeplanten Sturz abfangen können!) ",5,,,,,
